,name,athlete_id,latitude,longitude,latitude_school,longitude_school,committed_to,side_of_ball,position_group,state_province,hometown_city,hometown_country,conference,position,height,weight,distance_miles,stars,win_pct_rolling_2year,rating,k_means_cluster,k_means_pca1,k_means_pca2,k_means_distance_to_centroid,remove_reason
0,Marques Moore,3125868.0,40.9611713,-80.5575706,41.1390935,-81.31346,Kent State,defense,linebacker,OH,New Middletown,USA,Mid-American,ILB,74.0,2000.0,41.2603568277707,1,0.5769230769230769,0.6997,5,4.166569373903072,27.714579147545532,38.68278594401986,Invalid Weight and Height
1,Nico Difronzo,,34.1460234,-118.8061794,38.9969701,-104.8436165,Air Force,offense,o_line,CA,Westlake Village,USA,Mountain West,OG,75.0,27.0,842.9876093700757,2,0.6666666666666666,0.7642,2,-2.0537244019926972,-2.329654605293068,3.9429780152113585,Invalid Weight and Height
2,Marquez Ezzard,4362505.0,33.532005,131.3496745,25.9579665,-80.2388604,Miami,athlete,athlete,,,USA,ACC,ATH,73.0,213.0,7833.0784740360195,4,0.7307692307692307,0.8939,0,1.6781948074003878,-2.322390585788676,10.274783528307923,Invalid Location
3,Brandon Joseph,,33.532005,131.3496745,33.735267,-84.389949,Georgia State,offense,o_line,,,USA,Sun Belt,OG,74.0,280.0,7242.867348451115,2,0.4166666666666667,0.7903,0,-1.5276717610808892,0.10223101446296895,9.183271351525987,Invalid Location
4,Jack Zergiotis,4428977.0,33.532005,131.3496745,41.7595675,-72.6187728,UConn,offense,qb,,,USA,FBS Independents,DUAL,72.0,180.0,7016.742208700858,2,0.1666666666666666,0.7842,0,-2.6100044370019018,-1.7284953525342497,8.932463620754335,Invalid Location
5,Arquon Bush,4360067.0,33.532005,131.3496745,39.1312495,-84.5161913,Cincinnati,defense,d_backfield,,,USA,Big 12,CB,71.0,167.0,6916.389684351429,3,0.3333333333333333,0.8646,0,-0.6084792988675874,-2.7889089540049072,8.592570079693338,Invalid Location
6,Darnell Shields,,33.532005,131.3496745,39.1312495,-84.5161913,Cincinnati,defense,d_backfield,,,USA,Big 12,S,72.0,180.0,6916.389684351429,3,0.3333333333333333,0.831,0,-0.8509722435888154,-2.221692404150041,8.493241132909379,Invalid Location
7,Cole Burnison,,33.532005,131.3496745,42.9991334,-78.7775113,Buffalo,offense,pass_catcher,,,USA,Mid-American,TE,75.0,225.0,6816.7866303300725,2,0.3333333333333333,0.7497,0,-2.2593102435293297,-0.20392404766923813,8.466054063278024,Invalid Location
8,JH Tevis,,33.532005,131.3496745,37.8710434,-122.2507729,California,defense,d_line,,,USA,ACC,WDE,77.0,227.0,5609.058965617893,3,0.4166666666666667,0.8389,0,0.04522470689581386,-0.012975987169898139,6.1573549792975095,Invalid Location
