id,school,conference,division,color,logos,latitude_school,longitude_school
2335,Liberty,Conference USA,,#071740,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,37.3544305,-79.1750239
309,Louisiana,Sun Belt,West,#ce181e,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png,30.2158434,-92.0417371
2433,Louisiana Monroe,Sun Belt,West,#231F20,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png,32.5308089,-92.0660602
2348,Louisiana Tech,Conference USA,,#002d65,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png,32.5321487,-92.6560019
97,Louisville,ACC,,#c9001f,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png,38.2057621,-85.7588141
99,LSU,SEC,,#461d7c,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png,30.412035,-91.1838163
276,Marshall,Sun Belt,East,#00ae42,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png,38.4247042,-82.4214412
120,Maryland,Big Ten,,#D5002B,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png,38.9903332,-76.9473792
235,Memphis,American Athletic,,#004991,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png,35.1209429,-89.977147
2390,Miami,ACC,,#005030,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png,25.9579665,-80.2388604
193,Miami (OH),Mid-American,,#a4000c,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png,39.5197009,-84.7330255
130,Michigan,Big Ten,,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png,42.2658365,-83.7486956
127,Michigan State,Big Ten,,#18453B,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png,42.7281474,-84.4848526
2393,Middle Tennessee,Conference USA,,#006db6,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,35.8511463,-86.3681649
135,Minnesota,Big Ten,,#5e0a2f,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png,44.976525,-93.2245462
344,Mississippi State,SEC,,#5d1725,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png,33.4563403,-88.7933652
142,Missouri,SEC,,#f1b82d,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png,38.9358491,-92.3332009
2426,Navy,American Athletic,,#00225b,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png,38.9846985,-76.5076335
152,NC State,ACC,,#cc0000,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png,35.8008001,-78.7195655
158,Nebraska,Big Ten,,#d00000,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png,40.820682,-96.705594
2440,Nevada,Mountain West,,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png,39.5469459,-119.8175435
167,New Mexico,Mountain West,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png,35.0669479,-106.6283225
166,New Mexico State,Conference USA,,#891216,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png,32.2796202,-106.7411148
153,North Carolina,ACC,,#7bafd4,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png,35.9069294,-79.0478889
2459,Northern Illinois,Mid-American,,#F1122C,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,41.9339586,-88.7778357
249,North Texas,American Athletic,,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png,33.203899,-97.159245
77,Northwestern,Big Ten,,#582c83,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png,42.0653994,-87.6924751
87,Notre Dame,FBS Independents,,#0c2340,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png,41.698378,-86.2339425
195,Ohio,Mid-American,,#295A29,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png,39.3212794,-82.1034315
194,Ohio State,Big Ten,,#ce1141,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png,40.0016447,-83.0197266
201,Oklahoma,SEC,,#a32036,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png,35.2058537,-97.4423145
197,Oklahoma State,Big 12,,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png,36.125673,-97.066513
295,Old Dominion,Sun Belt,East,#00507d,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png,36.8889533,-76.3049175
145,Ole Miss,SEC,,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png,34.3619837,-89.5342076
2483,Oregon,Big Ten,,#007030,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,44.0582712,-123.0684883
