,name,athlete_id,committed_to,side_of_ball,position_group,state_province,hometown_country,height,weight,distance_miles,k_means_cluster,k_means_pca1,k_means_pca2,k_means_distance_to_centroid
23248,Gerad Lichtenhan,,Colorado,offense,o_line,CA,USA,80.5,345.0,885.8093305951538,2,3.6925735633328745,1.183923215397788,2.7910014565570274
21416,Andrew Gentry,,Virginia,offense,o_line,CO,USA,80.0,310.0,1425.675425531938,2,2.9081682581551185,2.0796358508013166,2.7883536960873974
17431,Davon Harris,,Louisiana Tech,offense,running_back,LA,USA,65.5,165.0,142.05584487901066,1,-3.171832274724625,-0.8605047904846219,2.787627407911774
7717,Canton Kaumatule,3886837.0,Oregon,defense,d_line,HI,USA,79.0,290.0,2530.841635397687,0,2.112100023127525,4.005034548298512,2.7784328487172365
23676,Amin Hassan,,Navy,offense,pass_catcher,FL,USA,66.0,166.0,937.517662921598,1,-3.1636182749591315,0.5841981082366454,2.767411581709244
20601,Thomas Sio,4430494.0,Oregon State,defense,d_line,AK,USA,76.0,330.0,1576.2114087590096,2,2.070333733250434,2.28161842230257,2.766796620995939
2099,John Ursua,,Hawai'i,athlete,athlete,UT,USA,69.0,175.0,2983.8212564323903,0,-2.5623002488203643,4.356527787057498,2.7608750047935815
7706,Kahlil McKenzie,4266441.0,Tennessee,defense,d_line,CA,USA,75.0,339.0,2093.7794804487976,0,1.834109554756439,3.201918755147838,2.760157877300433
23181,Alani Makihele,4606180.0,UNLV,offense,o_line,AK,USA,75.0,337.0,2294.888520841263,0,1.765733070105324,3.5599085542520754,2.7589684819626394
60,Zach Banner,531008.0,USC,offense,o_line,WA,USA,81.0,330.0,935.3923200730176,2,3.590259814288256,1.2595702397387227,2.7540584100483962
2386,Ben Clarke,-1012894.0,Hawai'i,offense,o_line,CO,USA,75.0,275.0,3335.8818849391337,0,0.6087246812636056,5.321797739030048,2.753217955641478
2033,Ben Davisson,-1043515.0,Western Michigan,offense,o_line,IN,USA,81.0,345.0,122.893356640351,2,3.9741042661834225,-0.17452756006787984,2.75181114087858
21964,Altrique Barlow,4430924.0,TCU,offense,o_line,VA,USA,75.0,356.0,1244.3229724783998,2,2.2559028503430145,1.7049150156821289,2.751385733291342
19357,Seneca Milledge,4430168.0,Virginia,offense,running_back,FL,USA,66.0,155.0,810.9010798396257,1,-3.311188743537941,0.3371726448995836,2.745951496899263
511,Christian Okafor,-1006301.0,California,offense,o_line,TX,USA,78.0,310.0,1634.8417400319977,0,2.308939797504063,2.4036764592330626,2.7405112873466457
15301,Seth Willis,,BYU,offense,o_line,CT,USA,78.0,315.0,1990.9543514879483,0,2.320675327005363,3.0526608635014747,2.739673074921392
19709,Dawand Jones,4427637.0,Ohio State,offense,o_line,IN,USA,80.0,360.0,167.17428876418683,2,3.918904918957022,-0.09443268923718538,2.734531698527177
12535,Tiano Tialavea,4040505.0,UTEP,defense,d_line,WA,USA,75.0,345.0,1374.1860389111414,2,2.0607905019399064,1.9189453864930037,2.727237597035359
16051,Robert Cooper,4363047.0,Florida State,defense,d_line,GA,USA,74.0,377.0,236.82880895798715,2,2.4889586933609,-0.09510360578355616,2.726524313352117
21746,Isaiah Raikes,4431345.0,Texas A&M,defense,d_line,NJ,USA,72.5,324.0,1355.839059879827,0,1.0370885426306367,1.783944139925736,2.7249443587089965
18348,Jordan Humphrey,,Nevada,athlete,athlete,TX,USA,68.0,165.0,1561.8547685975757,0,-2.734439785180609,1.756724250018078,2.7209611733135928
